,QS1,QS2,QS3,Q73,Q72,QS4_1,QS4_2,QS4_3,QS4_4,QS4_5,QS5,Q76,Q75,QS6,QS7_1,QS7_2,QS7_3,QS7_4,Q78,Q77,QS8,QS9,QS10,Q74,Q79,QS11,Q52,Q80,Q81
20,False,False,True,3.0,3.0,1,5,4,3,2,68,4.0,4.0,Executive,4,1,3,2,4.0,4.0,Q2,October,January-February,5.0,3.0,,,,
21,True,False,False,5.0,2.0,1,5,4,3,2,40,1.0,4.0,Executive,4,1,3,2,4.0,5.0,Q2,February,November-December,3.0,2.0,3rd of November,8th of November,1.0,1.0
22,False,False,True,5.0,2.0,1,4,5,3,2,40,3.0,3.0,Executive,4,1,3,2,4.0,1.0,Q2,February,November-December,5.0,3.0,10th of November,24th of November,5.0,3.0
23,False,False,False,5.0,3.0,,,,,,26,3.0,3.0,Executive,4,1,3,2,4.0,5.0,Q2,February,November-December,5.0,4.0,10th of November,24th of November,5.0,4.0
25,False,False,True,5.0,4.0,1,5,4,3,2,68,5.0,2.0,Executive,4,1,3,2,4.0,1.0,Q1,October,January-February,5.0,4.0,10th of November,29th of November,3.0,2.0
26,False,False,False,1.0,2.0,1,5,4,3,2,40,5.0,4.0,Executive,4,1,3,2,4.0,5.0,Q2,February,January-February,2.0,3.0,10th of November,24th of November,4.0,5.0
28,True,False,False,2.0,2.0,1,5,4,3,2,34,3.0,2.0,Executive,4,1,3,2,5.0,2.0,Q3,October,November-December,1.0,1.0,10th of November,24th of November,1.0,2.0
29,False,False,True,5.0,4.0,1,5,4,3,2,38,2.0,2.0,Executive,4,1,3,2,5.0,4.0,Q1,October,January-February,5.0,2.0,10th of November,29th of November,3.0,2.0
32,False,False,True,5.0,3.0,1,5,4,3,2,40,2.0,2.0,Executive,4,1,3,2,3.0,3.0,Q2,October,January-February,5.0,4.0,10th of November,24th of November,5.0,4.0
34,False,False,True,5.0,3.0,1,5,4,3,2,,1.0,1.0,Executive,4,1,3,2,5.0,3.0,Q2,February,January-February,5.0,2.0,10th of November,24th of November,4.0,4.0
35,False,False,True,5.0,3.0,1,5,4,3,2,60,2.0,2.0,Executive,4,1,3,2,4.0,4.0,Q2,October,January-February,3.0,3.0,10th of November,24th of November,1.0,2.0
